clinical_feature	cor	pval	component	padjust	log10padjust	cancer
TERT.expression..log2.	0.0109255972821291	0.805952274406389	PC1	0.805952274406389	0.0936906747899799	LGG
ABSOLUTE.purity	-0.0463891252262467	0.347018854435024	PC1	0.39659297649717	0.40165498124401	LGG
ABSOLUTE.ploidy	-0.0399324034954643	0.418293381884979	PC1	0.446179607343977	0.350490283044495	LGG
ESTIMATE.stromal.score	-0.451313435915255	0	PC1	0	Inf	LGG
ESTIMATE.immune.score	-0.586226747231746	0	PC1	0	Inf	LGG
ESTIMATE.combined.score	-0.554724459793603	0	PC1	0	Inf	LGG
age_at_initial_pathologic_diagnosis	-0.220120779323614	0.00679666559283889	PC1	0.0135933311856778	1.86667410189316	LAML
initial_pathologic_dx_year	-0.174622301688214	0.032578815379809	PC1	0.032578815379809	1.48706471141381	LAML
age_at_initial_pathologic_diagnosis	0.0186574370515895	0.668251011337612	PC2	0.668251011337612	0.175060375305414	KIRC
initial_pathologic_dx_year	0.0531758868528204	0.221641352357155	PC2	0.369402253928592	0.432500459015528	KIRC
last_contact_days_to	0.0531752667970028	0.310324759968574	PC2	0.387905949960718	0.411273558849829	KIRC
DSS	-0.145825091479839	0.000862422252581411	PC2	0.00431211126290705	2.365310041828	KIRC
DSS.time	0.059800871049404	0.169224645087303	PC2	0.369402253928592	0.432500459015528	KIRC
age_at_initial_pathologic_diagnosis	-0.0716519184341583	0.570580158126665	PC1	0.570580158126665	0.243683334967638	KICH
initial_pathologic_dx_year	0.172815359372008	0.168626563400159	PC1	0.337253126800318	0.47204401513025	KICH
last_contact_days_to	-0.160903368022459	0.240576058876315	PC1	0.342408665638087	0.465455252782324	KICH
DSS	0.257088986170562	0.0386974628737666	PC1	0.309579702990133	0.509227520755112	KICH
DSS.time	-0.216788580321753	0.0853135081214716	PC1	0.337253126800318	0.47204401513025	KICH
Age.at.Diagnosis	-0.0716519184341583	0.570580158126665	PC1	0.570580158126665	0.243683334967638	KICH
Year.of.Initial.Pathologic.Diagnosis	0.172815359372008	0.168626563400159	PC1	0.337253126800318	0.47204401513025	KICH
Max.Follow.up	0.143635531135531	0.256806499228565	PC1	0.342408665638087	0.465455252782324	KICH
age_at_initial_pathologic_diagnosis	-0.0446470692676675	0.437968556900681	PC1	0.635818782463694	0.196666646915341	CESC
initial_pathologic_dx_year	0.0669179536089183	0.246298277265336	PC1	0.61574569316334	0.210598617153394	CESC
last_contact_days_to	0.009376955013774	0.886303878052607	PC1	0.886303878052607	0.05241735042132	CESC
DSS	-0.145269803753127	0.0117682274237748	PC1	0.0588411371188739	1.23031894301996	CESC
DSS.time	0.0380501531415226	0.508655025970955	PC1	0.635818782463694	0.196666646915341	CESC
age_at_initial_pathologic_diagnosis	-0.0403927983442474	0.185918972411657	PC1	0.332920206394937	0.477659844796765	BRCA
initial_pathologic_dx_year	0.0762352533671758	0.0125329564338734	PC1	0.0877306950371135	1.0568484299759	BRCA
last_contact_days_to	0.0289445071030209	0.379752182900266	PC1	0.531653056060372	0.274371685358194	BRCA
DSS	-0.0581957413178861	0.0586910754080319	PC1	0.205418763928112	0.687359888400674	BRCA
DSS.time	0.010907832420718	0.721043018714542	PC1	0.721043018714542	0.142038823723	BRCA
DFI	-0.0428290939597745	0.190240117939964	PC1	0.332920206394937	0.477659844796765	BRCA
DFI.time	-0.0161824366918033	0.6209826493753	PC1	0.721043018714542	0.142038823723	BRCA
age_at_initial_pathologic_diagnosis	-0.0591365153928682	0.604672934458706	PC2	0.76216568902769	0.117950606077292	ACC
initial_pathologic_dx_year	-0.0475238388578368	0.677480612469058	PC2	0.76216568902769	0.117950606077292	ACC
last_contact_days_to	-0.0221719457013575	0.877068771985182	PC2	0.877068771985182	0.0569663517620337	ACC
DSS	0.327424096238187	0.0036523884107841	PC2	0.0164357478485284	1.78421053015248	ACC
DSS.time	-0.192078774098625	0.0899139497158458	PC2	0.161845109488522	0.790900419240942	ACC
purity	0.382221085295009	0.000922166825139498	PC2	0.00829950142625548	2.08094799609738	ACC
ploidy	0.271350240507184	0.021131422495921	PC2	0.0633942674877631	1.19795001200772	ACC
genome_doublings	0.225412488121666	0.0569370034555593	PC2	0.128108257775008	0.892422875013073	ACC
ADS	-0.056976274138668	0.620261752151958	PC2	0.76216568902769	0.117950606077292	ACC
