clinical_feature	cor	pval	component	padjust	log10padjust	cancer	principal_component
PTEN_mut	-0.00311053722673081	0.955041227796232	PC1	0.955041227796232	0.0199778801252254	PRAD	PC1
PIK3CA_mut	0.0767878160358101	0.163376335495028	PC1	0.470908261132728	0.327063690672402	PRAD	PC1
BRAF_mut	0.0343822922665966	0.533055256830764	PC1	0.768904744674268	0.11412745919039	PRAD	PC1
HRAS_mut	-0.0544024662879071	0.323763865849153	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
CTNNB1_mut	0.0160587951903864	0.770991908653383	PC1	0.907649251933104	0.0420819459488258	PRAD	PC1
AKT1_mut	-0.05504919927018	0.318036520575544	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
BRCA1_mut	-0.0550789221556965	0.317774898351538	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
BRCA2_mut	0.0388832061688717	0.480804995502717	PC1	0.765053777320069	0.116308036254887	PRAD	PC1
BRCA1_germline_mut	0.0155550497856008	0.777985073085518	PC1	0.907649251933104	0.0420819459488258	PRAD	PC1
BRCA2_germline_mut	0.0176270534632219	0.749341509077066	PC1	0.907649251933104	0.0420819459488258	PRAD	PC1
CDKN1B_mut	0.0816036994318607	0.138472169621405	PC1	0.424071019465552	0.372561405720538	PRAD	PC1
RB1_mut	0.0114237764471074	0.835964639474021	PC1	0.942975822886696	0.0254994420680806	PRAD	PC1
ZMYM3_mut	0.00710998296627871	0.897462825564958	PC1	0.955041227796232	0.0199778801252254	PRAD	PC1
ATM_MUT	0.056156298020033	0.308386594214479	PC1	0.610170362561866	0.214548890906052	PRAD	PC1
CDK12_MUT	0.0862677933241817	0.117234164993328	PC1	0.382964938978205	0.416840984530836	PRAD	PC1
FANCC_MUT	0.0385995679864909	0.484013614222901	PC1	0.765053777320069	0.116308036254887	PRAD	PC1
FANCD2_MUT	-0.0293817607061349	0.594277911198984	PC1	0.808839611003271	0.0921375883531308	PRAD	PC1
SPINK1_high	0.0267865593268517	0.627263371798455	PC1	0.808839611003271	0.0921375883531308	PRAD	PC1
Mutations	0.107140747851191	0.0514760024757623	PC1	0.210193676776029	0.677380352925207	PRAD	PC1
Fraction_genome_altered	-0.119353239760618	0.0299316884788386	PC1	0.162961415051454	0.787915212859328	PRAD	PC1
AR_score	-0.0877898098130767	0.110883901248444	PC1	0.382964938978205	0.416840984530836	PRAD	PC1
AR_mRNA	-0.222247297346486	4.71745196906658e-05	PC1	0.000462310292968524	3.33506643723536	PRAD	PC1
AR_V7_reads	-0.0452942096844675	0.411441166530531	PC1	0.720022041428429	0.142654208673979	PRAD	PC1
AR_V7_ratio	-0.0668449597284115	0.225170435662587	PC1	0.580702702498251	0.236046152824354	PRAD	PC1
AR_V7_presence	-0.0406878290904726	0.460663127605517	PC1	0.765053777320069	0.116308036254887	PRAD	PC1
age_at_initial_pathologic_diagnosis	-0.129582593498392	0.0121346894426621	PC2	0.084942826098635	1.07087329386777	OV	PC2
initial_pathologic_dx_year	-0.0574990792403396	0.267354739594096	PC2	0.429452015847068	0.36708535434034	OV	PC2
last_contact_days_to	-0.107150293925071	0.0603477016755848	PC2	0.191259304496383	0.718377427844187	OV	PC2
death_days_to	-0.0193440046130708	0.770934102353547	PC2	0.770934102353547	0.112982742840524	OV	PC2
new_tumor_event_dx_days_to	-0.0196878382170519	0.76204211078058	PC2	0.770934102353547	0.112982742840524	OV	PC2
DSS	0.0548653536266261	0.306751439890763	PC2	0.429452015847068	0.36708535434034	OV	PC2
DSS.time	-0.0903021310722911	0.0819682733555928	PC2	0.191259304496383	0.718377427844187	OV	PC2
age_at_initial_pathologic_diagnosis	-0.190688477796824	1.98350563508263e-05	PC1	9.91752817541316e-05	4.00359655703389	LUAD	PC1
initial_pathologic_dx_year	-0.0957387314159961	0.0318102330059793	PC1	0.0530170550099654	1.27558440011185	LUAD	PC1
last_contact_days_to	-0.04628458791776	0.402716438589415	PC1	0.402716438589415	0.395000642448782	LUAD	PC1
DSS	0.122690596045904	0.00730272509658981	PC1	0.0182568127414745	1.73857503893808	LUAD	PC1
DSS.time	-0.0487303269401137	0.274865831112433	PC1	0.343582288890542	0.463969231439613	LUAD	PC1
age_at_initial_pathologic_diagnosis	0.129777104354435	0.0124741222127065	PC2	0.0436594277444728	1.35992196100083	LIHC	PC2
initial_pathologic_dx_year	-0.0710551834856456	0.17378017638951	PC2	0.243292246945314	0.613871730619193	LIHC	PC2
last_contact_days_to	0.136721008364744	0.0342627787376281	PC2	0.0799464837211322	1.09720063303209	LIHC	PC2
DSS	0.0321739445043382	0.541173121429864	PC2	0.541173121429864	0.266663781742882	LIHC	PC2
DSS.time	0.168666195772524	0.00112698040380362	PC2	0.00788886282662533	2.10298559548706	LIHC	PC2
DFI	0.0558374942366638	0.321683452615424	PC2	0.375297361384661	0.425624488984492	LIHC	PC2
DFI.time	0.102477662381879	0.0688724000573278	PC2	0.120526700100324	0.91891673382146	LIHC	PC2
age_at_initial_pathologic_diagnosis	-0.0293636733554867	0.508201551880725	PC2	0.6776020691743	0.169025276482532	LGG	PC2
initial_pathologic_dx_year	0.270105726562171	5.62856953816053e-10	PC2	2.25142781526421e-09	8.6475419727228	LGG	PC2
last_contact_days_to	0.0168018879288549	0.742436832328212	PC2	0.742436832328212	0.129340490883876	LGG	PC2
DSS	-0.143881258511197	0.00122708198425521	PC2	0.00245416396851042	2.61009642439616	LGG	PC2
DSS.time	0.0216625284192531	0.625844134458936	PC2	0.715250439381642	0.145541866733516	LGG	PC2
Age..years.at.diagnosis.	-0.0239156199331719	0.611676755472214	PC2	0.715250439381642	0.145541866733516	LGG	PC2
Survival..months.	-0.0480635262601524	0.307378604427365	PC2	0.491805767083784	0.308206382880793	LGG	PC2
Vital.status..1.dead.	-0.179065778729577	0.000127269650630723	PC2	0.000407262882018312	3.3901251697549	LGG	PC2
Mutation.Count	-0.0148337284138165	0.738734246250233	PC2	0.742436832328212	0.129340490883876	LGG	PC2
Percent.aneuploidy	-0.0377466054036512	0.401908567526592	PC2	0.584594280038679	0.233145438311103	LGG	PC2
TERT.expression..log2.	0.147469321054965	0.00085653884620404	PC2	0.00195780307703781	2.70823099325647	LGG	PC2
ABSOLUTE.purity	0.173722974225565	0.000389980913182414	PC2	0.00103994910181977	2.98298791583559	LGG	PC2
ABSOLUTE.ploidy	0.0672313760722959	0.172660335827743	PC2	0.30695170813821	0.512929945496146	LGG	PC2
ESTIMATE.stromal.score	-0.563301105653838	0	PC2	0	Inf	LGG	PC2
ESTIMATE.immune.score	-0.617291675801194	0	PC2	0	Inf	LGG	PC2
ESTIMATE.combined.score	-0.617558777764118	0	PC2	0	Inf	LGG	PC2
age_at_initial_pathologic_diagnosis	-0.129493847004776	0.00339452220378107	PC1	0.00678904440756213	2.16819135056907	LGG	PC1
initial_pathologic_dx_year	-0.147150880420543	0.000858709972573008	PC1	0.00228989326019469	2.64018476114869	LGG	PC1
last_contact_days_to	0.0840047082582041	0.0997962898775955	PC1	0.122826202926271	0.91070897381082	LGG	PC1
DSS	-0.118570795787851	0.00782833225820255	PC1	0.0115152990377957	1.93872477947324	LGG	PC1
DSS.time	0.125714553250106	0.00450353000520184	PC1	0.00800627556480327	2.09656946616523	LGG	PC1
Age..years.at.diagnosis.	-0.124628465705486	0.00791676808848453	PC1	0.0115152990377957	1.93872477947324	LGG	PC1
Survival..months.	0.145189929586521	0.00194774474774304	PC1	0.00445198799484123	2.35144601544722	LGG	PC1
Vital.status..1.dead.	-0.103411040571642	0.0277500584208986	PC1	0.0370000778945315	1.43179736163221	LGG	PC1
Mutation.Count	-0.305778744138207	1.86334597820442e-12	PC1	7.45338391281768e-12	11.1276465083251	LGG	PC1
Percent.aneuploidy	-0.299132008342535	1.37182675926804e-11	PC1	4.38984562965772e-11	10.3575507515954	LGG	PC1
TERT.expression..log2.	0.0109255972821291	0.805952274406389	PC1	0.805952274406389	0.0936906747899799	LGG	PC1
ABSOLUTE.purity	-0.0463891252262467	0.347018854435024	PC1	0.39659297649717	0.40165498124401	LGG	PC1
ABSOLUTE.ploidy	-0.0399324034954643	0.418293381884979	PC1	0.446179607343977	0.350490283044495	LGG	PC1
ESTIMATE.stromal.score	-0.451313435915255	0	PC1	0	Inf	LGG	PC1
ESTIMATE.immune.score	-0.586226747231746	0	PC1	0	Inf	LGG	PC1
ESTIMATE.combined.score	-0.554724459793603	0	PC1	0	Inf	LGG	PC1
age_at_initial_pathologic_diagnosis	0.0186574370515895	0.668251011337612	PC2	0.668251011337612	0.175060375305414	KIRC	PC2
initial_pathologic_dx_year	0.0531758868528204	0.221641352357155	PC2	0.369402253928592	0.432500459015528	KIRC	PC2
last_contact_days_to	0.0531752667970028	0.310324759968574	PC2	0.387905949960718	0.411273558849829	KIRC	PC2
DSS	-0.145825091479839	0.000862422252581411	PC2	0.00431211126290705	2.365310041828	KIRC	PC2
DSS.time	0.059800871049404	0.169224645087303	PC2	0.369402253928592	0.432500459015528	KIRC	PC2
age_at_initial_pathologic_diagnosis	-0.0446470692676675	0.437968556900681	PC1	0.635818782463694	0.196666646915341	CESC	PC1
initial_pathologic_dx_year	0.0669179536089183	0.246298277265336	PC1	0.61574569316334	0.210598617153394	CESC	PC1
last_contact_days_to	0.009376955013774	0.886303878052607	PC1	0.886303878052607	0.05241735042132	CESC	PC1
DSS	-0.145269803753127	0.0117682274237748	PC1	0.0588411371188739	1.23031894301996	CESC	PC1
DSS.time	0.0380501531415226	0.508655025970955	PC1	0.635818782463694	0.196666646915341	CESC	PC1
age_at_initial_pathologic_diagnosis	-0.0403927983442474	0.185918972411657	PC1	0.332920206394937	0.477659844796765	BRCA	PC1
initial_pathologic_dx_year	0.0762352533671758	0.0125329564338734	PC1	0.0877306950371135	1.0568484299759	BRCA	PC1
last_contact_days_to	0.0289445071030209	0.379752182900266	PC1	0.531653056060372	0.274371685358194	BRCA	PC1
DSS	-0.0581957413178861	0.0586910754080319	PC1	0.205418763928112	0.687359888400674	BRCA	PC1
DSS.time	0.010907832420718	0.721043018714542	PC1	0.721043018714542	0.142038823723	BRCA	PC1
DFI	-0.0428290939597745	0.190240117939964	PC1	0.332920206394937	0.477659844796765	BRCA	PC1
DFI.time	-0.0161824366918033	0.6209826493753	PC1	0.721043018714542	0.142038823723	BRCA	PC1
age_at_initial_pathologic_diagnosis	-0.0591365153928682	0.604672934458706	PC2	0.76216568902769	0.117950606077292	ACC	PC2
initial_pathologic_dx_year	-0.0475238388578368	0.677480612469058	PC2	0.76216568902769	0.117950606077292	ACC	PC2
last_contact_days_to	-0.0221719457013575	0.877068771985182	PC2	0.877068771985182	0.0569663517620337	ACC	PC2
DSS	0.327424096238187	0.0036523884107841	PC2	0.0164357478485284	1.78421053015248	ACC	PC2
DSS.time	-0.192078774098625	0.0899139497158458	PC2	0.161845109488522	0.790900419240942	ACC	PC2
purity	0.382221085295009	0.000922166825139498	PC2	0.00829950142625548	2.08094799609738	ACC	PC2
ploidy	0.271350240507184	0.021131422495921	PC2	0.0633942674877631	1.19795001200772	ACC	PC2
genome_doublings	0.225412488121666	0.0569370034555593	PC2	0.128108257775008	0.892422875013073	ACC	PC2
ADS	-0.056976274138668	0.620261752151958	PC2	0.76216568902769	0.117950606077292	ACC	PC2
